,Country/Region,11/14/22,11/15/22,11/16/22,11/17/22,11/18/22,11/19/22,11/20/22
0,Afghanistan,204610,204724,204820,204982,205009,205039,205146
1,Albania,333161,333197,333215,333233,333233,333246,333256
2,Algeria,270952,270969,270981,270996,270996,271011,271023
3,Andorra,46664,46664,46824,46824,46824,46824,46824
4,Angola,103131,103131,103131,103131,103131,103131,103131
5,Antarctica,11,11,11,11,11,11,11
6,Antigua and Barbuda,9106,9106,9106,9106,9106,9106,9106
7,Argentina,9721718,9721718,9721718,9721718,9721718,9721718,9723924
8,Armenia,445513,445513,445513,445513,445513,445513,445513
9,Australia,210609,210609,210609,212092,212092,212092,212092
10,Australia,3581110,3581110,3581110,3608974,3608974,3608974,3608974
11,Australia,99128,99128,99128,99410,99410,99410,99410
12,Australia,1673798,1673798,1673798,1683096,1683096,1683096,1683096
13,Australia,791713,791713,791713,800347,800347,800347,800347
14,Australia,256075,256075,256075,256075,258301,258301,258301
15,Australia,2685116,2688568,2691818,2694518,2694367,2696774,2699335
16,Australia,1189668,1189668,1189668,1198725,1198725,1198725,1198725
17,Austria,5493469,5497145,5502186,5506697,5510919,5514701,5517893
18,Azerbaijan,823725,823761,823805,823849,823889,823923,823954
19,Bahamas,37436,37436,37439,37439,37453,37453,37453
20,Bahrain,693725,694021,694223,694464,694602,694740,694955
21,Bangladesh,2036204,2036233,2036268,2036306,2036325,2036343,2036367
22,Barbados,103424,103545,103545,103545,103545,103545,103545
23,Belarus,994037,994037,994037,994037,994037,994037,994037
24,Belgium,4624251,4624251,4624251,4627186,4627186,4627186,4627186
25,Belize,68988,68988,68988,68988,68988,68988,68988
26,Benin,27922,27922,27922,27922,27922,27922,27922
27,Bhutan,62460,62460,62460,62460,62460,62460,62460
28,Bolivia,1109838,1109889,1110014,1110014,1110064,1110064,1110190
29,Bosnia and Herzegovina,400261,400279,400301,400322,400336,400336,400336
30,Botswana,326344,326344,326344,326344,326344,326344,326344
31,Brazil,34908198,34908198,34938073,34971043,34999495,34999495,34999495
32,Brunei,244599,248861,248861,248861,248861,248861,248861
33,Bulgaria,1284051,1284356,1284618,1284838,1285113,1285197,1285248
34,Burkina Faso,21631,21631,21631,21631,21631,21631,21631
35,Burma,632711,632805,632865,632910,632957,632987,633005
36,Burundi,50574,50574,50639,50639,50639,50639,50639
37,Cabo Verde,62693,62710,62740,62758,62783,62802,62802
38,Cambodia,137999,138003,138007,138010,138019,138019,138028
39,Cameroon,123993,123993,123993,123993,123993,123993,123993
40,Canada,615359,615359,616682,616682,616682,616682,616682
41,Canada,388497,388497,388497,388984,388984,388984,388984
42,Canada,0,0,0,0,0,0,0
43,Canada,13,13,13,13,13,13,13
44,Canada,152072,152072,152072,152072,152072,152072,152072
45,Canada,80715,81269,81269,81269,81269,81269,81269
46,Canada,52802,52973,52973,52973,52973,52973,52973
47,Canada,11511,11511,11511,11511,11511,11511,11511
48,Canada,130534,131239,131239,131239,131239,131239,131239
49,Canada,3531,3531,3531,3531,3531,3531,3531
50,Canada,1524340,1525667,1525667,1530344,1530613,1530613,1530613
51,Canada,53888,53888,54043,54043,54043,54043,54043
52,Canada,1238739,1239532,1240569,1241406,1242143,1242808,1243392
53,Canada,13,13,13,13,13,13,13
54,Canada,146888,148288,148288,148288,148288,148288,148288
55,Canada,4989,4989,4989,4989,4989,4989,4989
56,Central African Republic,15289,15289,15289,15289,15289,15289,15289
57,Chad,7637,7637,7637,7637,7637,7637,7637
58,Chile,4842632,4845748,4852337,4859241,4865698,4871851,4877248
59,China,1559,1564,1564,1565,1566,1566,1566
60,China,5945,6147,6319,6420,6504,6578,6735
61,China,2512,2798,2970,3165,3313,3498,3498
62,China,5448,5479,5500,5500,5562,5617,5652
63,China,1455,1468,1468,1475,1480,1483,1483
64,China,18190,18778,20034,21392,22507,23685,24707
65,China,2350,2350,2350,2350,2351,2357,2357
66,China,1001,1011,1011,1042,1048,1059,1069
67,China,8984,8992,8992,8999,9003,9003,9010
68,China,2054,2055,2055,2055,2057,2066,2068
69,China,3620,3655,3655,3666,3676,3697,3697
70,China,4995,5195,5195,5332,5440,5818,5979
71,China,1992218,1998169,2004825,2012877,2020885,2028945,2036681
72,China,68448,68454,68454,68460,68463,68470,68478
73,China,1850,1856,1856,1858,1861,1869,1879
74,China,6055,6138,6246,6358,6475,6574,6666
75,China,2832,2859,2859,2890,2913,2987,3052
76,China,1506,1506,1506,1506,1506,1506,1511
77,China,40329,40329,40329,40330,40330,40330,40330
78,China,2080,2084,2086,2087,2087,2118,2133
79,China,795,795,795,795,795,795,796
80,China,225,225,225,225,225,225,225
81,China,328,330,330,349,354,356,365
82,China,4315,4378,4485,4560,4580,4616,4646
83,China,3286,3299,3299,3315,3325,3369,3369
84,China,64341,64345,64353,64360,64373,64382,64393
85,China,1923,1989,1989,2060,2123,2260,2380
86,China,6825,6889,7014,7014,7126,7426,7645
87,China,2530,2539,2543,2543,2547,2555,2560
