,Country/Region,11/20/22
0,Afghanistan,205146
1,Albania,333256
2,Algeria,271023
3,Andorra,46824
4,Angola,103131
5,Antarctica,11
6,Antigua and Barbuda,9106
7,Argentina,9723924
8,Armenia,445513
9,Australia,212092
10,Australia,3608974
11,Australia,99410
12,Australia,1683096
13,Australia,800347
14,Australia,258301
15,Australia,2699335
16,Australia,1198725
17,Austria,5517893
18,Azerbaijan,823954
19,Bahamas,37453
20,Bahrain,694955
21,Bangladesh,2036367
22,Barbados,103545
23,Belarus,994037
24,Belgium,4627186
25,Belize,68988
26,Benin,27922
27,Bhutan,62460
28,Bolivia,1110190
29,Bosnia and Herzegovina,400336
30,Botswana,326344
31,Brazil,34999495
32,Brunei,248861
33,Bulgaria,1285248
34,Burkina Faso,21631
35,Burma,633005
36,Burundi,50639
37,Cabo Verde,62802
38,Cambodia,138028
39,Cameroon,123993
40,Canada,616682
41,Canada,388984
42,Canada,0
43,Canada,13
44,Canada,152072
45,Canada,81269
46,Canada,52973
47,Canada,11511
48,Canada,131239
49,Canada,3531
50,Canada,1530613
51,Canada,54043
52,Canada,1243392
53,Canada,13
54,Canada,148288
55,Canada,4989
56,Central African Republic,15289
57,Chad,7637
58,Chile,4877248
59,China,1566
60,China,6735
61,China,3498
62,China,5652
63,China,1483
64,China,24707
65,China,2357
66,China,1069
67,China,9010
68,China,2068
69,China,3697
70,China,5979
71,China,2036681
72,China,68478
73,China,1879
74,China,6666
75,China,3052
76,China,1511
77,China,40330
78,China,2133
79,China,796
80,China,225
81,China,365
82,China,4646
83,China,3369
84,China,64393
85,China,2380
86,China,7645
87,China,2560
88,China,1495
89,China,1003837
90,China,2340
91,China,3152
92,China,3779
93,Colombia,6312657
94,Comoros,8941
95,Congo (Brazzaville),25375
96,Congo (Kinshasa),93837
97,Costa Rica,1143597
98,Cote d'Ivoire,87870
99,Croatia,1251415
100,Cuba,1111338
101,Cyprus,610023
102,Czechia,4167937
103,Denmark,34658
104,Denmark,11971
105,Denmark,3345583
106,Diamond Princess,712
107,Djibouti,15690
108,Dominica,15760
109,Dominican Republic,647868
110,Ecuador,1009388
111,Egypt,515645
112,El Salvador,201785
113,Equatorial Guinea,17182
114,Eritrea,10189
115,Estonia,608332
116,Eswatini,73770
117,Ethiopia,494314
118,Fiji,68307
119,Finland,1384654
120,France,94421
121,France,76827
122,France,197105
123,France,223877
124,France,40612
125,France,74818
126,France,479430
127,France,5336
128,France,3233
129,France,12034
130,France,3415
131,France,36297077
132,Gabon,48972
133,Gambia,12580
134,Georgia,1785138
135,Germany,36205405
136,Ghana,170996
137,Greece,5306482
138,Grenada,19616
139,Guatemala,1148436
140,Guinea,38153
141,Guinea-Bissau,8848
142,Guyana,71541
143,Haiti,33837
144,Holy See,29
145,Honduras,457508
146,Hungary,2157995
147,Iceland,206803
148,India,44670646
149,Indonesia,6608367
150,Iran,7559296
151,Iraq,2462317
152,Ireland,1677386
153,Israel,4705778
154,Italy,24031538
155,Jamaica,152381
156,Japan,23793927
157,Jordan,1746997
158,Kazakhstan,1485635
159,Kenya,341030
160,Kiribati,3430
161,"Korea, North",1
162,"Korea, South",26581856
163,Kosovo,272197
164,Kuwait,662510
165,Kyrgyzstan,206483
166,Laos,216468
167,Latvia,959019
168,Lebanon,1220043
169,Lesotho,34490
170,Liberia,8014
171,Libya,507070
172,Liechtenstein,20815
173,Lithuania,1273036
174,Luxembourg,304962
175,MS Zaandam,9
176,Madagascar,67054
177,Malawi,88073
178,Malaysia,4967299
179,Maldives,185549
180,Mali,32755
181,Malta,115695
182,Marshall Islands,15501
183,Mauritania,63419
184,Mauritius,268397
185,Mexico,7118933
186,Micronesia,22203
187,Moldova,594441
188,Monaco,15195
189,Mongolia,989320
190,Montenegro,283500
191,Morocco,1267315
192,Mozambique,230543
193,Namibia,169946
194,Nauru,4618
195,Nepal,1000851
196,Netherlands,43494
197,Netherlands,11516
198,Netherlands,45536
199,Netherlands,10943
200,Netherlands,8534013
201,New Zealand,6389
202,New Zealand,100
203,New Zealand,1918070
204,Nicaragua,15219
205,Niger,9430
206,Nigeria,266283
207,North Macedonia,344531
208,Norway,1467455
209,Oman,399027
210,Pakistan,1574913
211,Palau,5684
212,Panama,992623
213,Papua New Guinea,45819
214,Paraguay,718071
215,Peru,4184191
216,Philippines,4025917
217,Poland,6348842
218,Portugal,5537108
219,Qatar,475897
220,Romania,3294232
221,Russia,21230367
222,Rwanda,132643
223,Saint Kitts and Nevis,6552
224,Saint Lucia,29692
225,Saint Vincent and the Grenadines,9462
226,Samoa,15949
227,San Marino,21798
228,Sao Tome and Principe,6275
229,Saudi Arabia,825087
230,Senegal,88842
231,Serbia,2416771
232,Seychelles,49380
233,Sierra Leone,7758
234,Singapore,2153535
235,Slovakia,2648095
236,Slovenia,1247664
237,Solomon Islands,24575
238,Somalia,27254
239,South Africa,4037221
240,South Sudan,18339
241,Spain,13573721
242,Sri Lanka,671522
243,Sudan,63595
244,Summer Olympics 2020,865
245,Suriname,81228
246,Sweden,2622790
247,Switzerland,4297635
248,Syria,57386
249,Taiwan*,8163008
250,Tajikistan,17786
251,Tanzania,40311
252,Thailand,4698373
253,Timor-Leste,23323
254,Togo,39323
255,Tonga,16182
256,Trinidad and Tobago,185094
257,Tunisia,1146799
258,Turkey,16919638
259,Tuvalu,2019
260,US,98308990
261,Uganda,169663
262,Ukraine,5635398
263,United Arab Emirates,1042573
264,United Kingdom,3904
265,United Kingdom,18463
266,United Kingdom,7305
267,United Kingdom,31194
268,United Kingdom,0
269,United Kingdom,1930
270,United Kingdom,20184
271,United Kingdom,32666
272,United Kingdom,38008
273,United Kingdom,62589
274,United Kingdom,1403
275,United Kingdom,4
276,United Kingdom,2159
277,United Kingdom,6431
278,United Kingdom,23977633
279,Uruguay,992035
280,Uzbekistan,245246
281,Vanuatu,11981
282,Venezuela,546839
283,Vietnam,11511452
284,West Bank and Gaza,703036
285,Winter Olympics 2022,535
286,Yemen,11945
287,Zambia,333685
288,Zimbabwe,257893
